"Reference","Value","Footprint","Qty","DNP","Tayda","Adafruit PN","MPN"
"C1,C2,C4,C5,C6,C15,C16,C17,C24,C27,C30","0.1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","11","","","","C1206C104K5RACTU"
"C3,C18,C19","10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3","","","","C1206C106K4PACTU"
"C7,C8,C9,C10","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","4","","","","KGM31HR71C105KU"
"C11,C12,C13,C14,C26,C29","10nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","6","","","","C1206C103K5RAC7210"
"C20,C22","180pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2","","","","KGM31BCG2A181FT"
"C21,C23","105pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2","","","","C3216C0G2J101G060AA"
"C28,C31","4.7uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2","","","","ESK475M016AC3AA"
"D1","5V LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1","","","","APTD3216LCGCK"
"D2","3V3 LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1","","","","APTD3216LSYCK"
"D3","Indicator","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1","","","","APTD3216LSYCK"
"G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP10,TP11,TP12,TP19,TP20","TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","23","DNP","","",""
"J1","RF_IN","VWS-SDR:SMA_Vertical_and_Edgemount","1","","","","CONSMA001-G"
"J2","IQ_Out","VWS-SDR:Jack_3.5mm_STX-3081_Horizontal","1","","","","SJ1-3515N"
"J3","SI5351 board","VWS-SDR:Adafruit_Si5351","1","","","2045",""
"J4,J5","Conn_01x20_Socket","","2","","A-1310","",""
"J6","I2C breakout","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","DNP","","",""
"J7","Power breakout","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","DNP","","",""
"J8","GPIO Breakout1","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","1","","A-1669","",""
"J9","GPIO Breakout2","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","1","","A-1306","",""
"J10","IF breakout","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1","","A-1069","",""
"L1","1.5uH","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","","","LQM31PN1R5M00L"
"L2,L3,L4,L5,L6","FB","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","5","","","","HZ1206E601R-10"
"R1","62R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","","","CR1206-FX-62R0ELF"
"R2,R3","510R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","","","CR1206-FX-5100ELF"
"R4,R5,R12,R13,R14,R15","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","6","","","","CR1206-FX-1002ELF"
"R6,R7,R8,R9","100R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4","","","","CR1206-FX-1000ELF"
"R10,R11","2k2","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","","","CR1206-FX-2201ELF"
"R16,R17,R18,R19,R20,R21,R22,R23","5k1","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","8","","","","CR1206-JW-512ELF"
"R24,R25","0","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","","","CRCW12060000Z0EAC"
"R26","3k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","","","CR1206-FX-3001ELF"
"R27,R28","1k5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","","","CR1206-FX-1501ELF"
"TPa1","LNA Bias","TestPoint:TestPoint_Pad_D1.5mm","1","","","",""
"TPc1","Mixer Enable","TestPoint:TestPoint_Pad_D1.5mm","1","","","",""
"TPd1","Mixer DC","TestPoint:TestPoint_Pad_D1.5mm","1","","","",""
"TPe1","Q offset","TestPoint:TestPoint_Pad_D1.5mm","1","","","",""
"TPf1","I offset","TestPoint:TestPoint_Pad_D1.5mm","1","","","",""
"TPg1","Amp DC","TestPoint:TestPoint_Pad_D1.5mm","1","","","",""
"TPh1","Filter DC","TestPoint:TestPoint_Pad_D1.5mm","1","","","",""
"U1","GALI-S66","Package_TO_SOT_SMD:SOT-89-3","1","","","","GALI-S66+"
"U2","74CBTLV3253DR","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1","","","","SN74CBTLV3253DR"
"U3,U4","MC33078","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2","","","","MC33078DR"
"U5","RASPBERRY-PICO","VWS-SDR:Raspberry_pico_pin_or_castellation_footprint","1","","","","SC0915"
